step,K,U,E
265,0.0001420715,-0.0374184694,-0.0372763980
266,0.0001431470,-0.0374195004,-0.0372763534
267,0.0001442266,-0.0374195005,-0.0372752739
268,0.0001453103,-0.0374208629,-0.0372755527
269,0.0001463981,-0.0374226565,-0.0372762584
270,0.0001474901,-0.0374236837,-0.0372761936
271,0.0001485862,-0.0374237901,-0.0372752040
272,0.0001496863,-0.0374247366,-0.0372750503
273,0.0001507906,-0.0374276493,-0.0372768587
274,0.0001518991,-0.0374278542,-0.0372759551
275,0.0001530117,-0.0374291545,-0.0372761428
276,0.0001541284,-0.0374292455,-0.0372751172
277,0.0001552492,-0.0374319674,-0.0372767182
278,0.0001563742,-0.0374321148,-0.0372757406
279,0.0001575032,-0.0374333195,-0.0372758162
280,0.0001586364,-0.0374339225,-0.0372752861
281,0.0001597737,-0.0374364059,-0.0372766322
282,0.0001609152,-0.0374376466,-0.0372767314
283,0.0001620608,-0.0374377360,-0.0372756752
284,0.0001632105,-0.0374388652,-0.0372756547
285,0.0001643643,-0.0374405775,-0.0372762132
286,0.0001655223,-0.0374416532,-0.0372761308
287,0.0001666844,-0.0374422511,-0.0372755667
288,0.0001678507,-0.0374430693,-0.0372752187
289,0.0001690210,-0.0374457781,-0.0372767571
290,0.0001701956,-0.0374460028,-0.0372758072
291,0.0001713742,-0.0374472149,-0.0372758407
292,0.0001725570,-0.0374474177,-0.0372748607
293,0.0001737439,-0.0374500459,-0.0372763020
294,0.0001749350,-0.0374513270,-0.0372763919
295,0.0001761302,-0.0374515151,-0.0372753849
296,0.0001773296,-0.0374526276,-0.0372752980
297,0.0001785331,-0.0374543953,-0.0372758622
298,0.0001797407,-0.0374555205,-0.0372757798
299,0.0001809525,-0.0374565779,-0.0372756254
300,0.0001821684,-0.0374571774,-0.0372750090
301,0.0001833885,-0.0374599327,-0.0372765443
302,0.0001846127,-0.0374600363,-0.0372754236
303,0.0001858411,-0.0374610026,-0.0372751615
304,0.0001870736,-0.0374637998,-0.0372767262
305,0.0001883103,-0.0374638865,-0.0372755761
306,0.0001895512,-0.0374653058,-0.0372757546
307,0.0001907961,-0.0374664043,-0.0372756081
308,0.0001920453,-0.0374682771,-0.0372762318
309,0.0001932986,-0.0374694791,-0.0372761805
310,0.0001945561,-0.0374695682,-0.0372750122
311,0.0001958176,-0.0374706299,-0.0372748122
312,0.0001970834,-0.0374735948,-0.0372765113
313,0.0001983534,-0.0374736842,-0.0372753308
314,0.0001996274,-0.0374748120,-0.0372751846
315,0.0002009057,-0.0374777314,-0.0372768257
316,0.0002021882,-0.0374778476,-0.0372756594
317,0.0002034748,-0.0374790723,-0.0372755975
318,0.0002047655,-0.0374799254,-0.0372751599
319,0.0002060604,-0.0374823958,-0.0372763354
320,0.0002073595,-0.0374834784,-0.0372761189
321,0.0002086627,-0.0374834784,-0.0372748157
322,0.0002099702,-0.0374862159,-0.0372762458
323,0.0002112818,-0.0374873354,-0.0372760536
324,0.0002125976,-0.0374876762,-0.0372750787
325,0.0002139174,-0.0374889270,-0.0372750095
326,0.0002152416,-0.0374917054,-0.0372764638
327,0.0002165699,-0.0374917940,-0.0372752241
328,0.0002179023,-0.0374929441,-0.0372750418
329,0.0002192390,-0.0374959202,-0.0372766813
330,0.0002205798,-0.0374960490,-0.0372754692
331,0.0002219248,-0.0374971749,-0.0372752501
332,0.0002232740,-0.0375000854,-0.0372768114
333,0.0002246274,-0.0375003551,-0.0372757277
334,0.0002259850,-0.0375014324,-0.0372754474
335,0.0002273467,-0.0375027195,-0.0372753728
336,0.0002287126,-0.0375045151,-0.0372758025
337,0.0002300827,-0.0375056939,-0.0372756112
338,0.0002314570,-0.0375067503,-0.0372752933
339,0.0002328355,-0.0375085576,-0.0372757221
340,0.0002342182,-0.0375101199,-0.0372759017
341,0.0002356051,-0.0375112789,-0.0372756739
342,0.0002369962,-0.0375139994,-0.0372770032
343,0.0002383915,-0.0375141055,-0.0372757140
344,0.0002397910,-0.0375152812,-0.0372754902
345,0.0002411946,-0.0375172393,-0.0372760447
346,0.0002426025,-0.0375185257,-0.0372759232
347,0.0002440145,-0.0375196042,-0.0372755896
348,0.0002454308,-0.0375208484,-0.0372754176
349,0.0002468512,-0.0375227071,-0.0372758559
350,0.0002482759,-0.0375237474,-0.0372754716
351,0.0002497047,-0.0375250536,-0.0372753489
352,0.0002511378,-0.0375278176,-0.0372766798
353,0.0002525751,-0.0375279072,-0.0372753321
354,0.0002540165,-0.0375290314,-0.0372750149
355,0.0002554622,-0.0375320729,-0.0372766107
356,0.0002569121,-0.0375324897,-0.0372755775
357,0.0002583662,-0.0375335417,-0.0372751754
358,0.0002598246,-0.0375364572,-0.0372766326
359,0.0002612871,-0.0375374984,-0.0372762113
360,0.0002627539,-0.0375376476,-0.0372748937
361,0.0002642248,-0.0375407267,-0.0372765019
362,0.0002657001,-0.0375420559,-0.0372763559
363,0.0002671795,-0.0375426204,-0.0372754409
364,0.0002686631,-0.0375448672,-0.0372762041
365,0.0002701510,-0.0375459672,-0.0372758162
366,0.0002716431,-0.0375473593,-0.0372757163
367,0.0002731394,-0.0375497201,-0.0372765807
368,0.0002746399,-0.0375503696,-0.0372757297
369,0.0002761447,-0.0375516412,-0.0372754966
370,0.0002776537,-0.0375544432,-0.0372767895
371,0.0002791669,-0.0375548003,-0.0372756334
372,0.0002806843,-0.0375558657,-0.0372751814
373,0.0002822060,-0.0375587237,-0.0372765178
374,0.0002837319,-0.0375598960,-0.0372761641
375,0.0002852620,-0.0375605786,-0.0372753165
